question_text,answer_text,source
Which large desert covers much of northern Africa?,The Sahara,General
Which empire built the famous road known as the Appian Way?,The Roman Empire,General
Which cheese is traditionally used on a Margherita pizza (with tomato sauce and basil)?,Mozzarella,General
Which 1994 film included the line Life is like a box of chocolates?,Forrest Gump,General
Ammonia (NH₃) is made of nitrogen and which other element?,Hydrogen,General
Globophobia is the fear of what?,Balloons,General
The TV show Frasier was a spin-off of which classic sitcom?,Cheers,General
"Which reality show challenges contestants to 'outwit, outplay, and outlast'?",Survivor,General
"In The Fresh Prince of Bel-Air, what is the name of Will's wealthy uncle?",Philip Banks,General
Who played Eleven in the Netflix series Stranger Things?,Millie Bobby Brown,General
Which long-running medical drama is set at the fictional Grey Sloan Memorial Hospital?,Grey's Anatomy,General
"On The Simpsons, what is the name of Homer's boss at the nuclear power plant?",Mr. Montgomery Burns,General
Which film features the famous courtroom line 'You can't handle the truth!'?,A Few Good Men,General
Who directed the 1975 blockbuster Jaws?,Steven Spielberg,General
Which film starred Leonardo DiCaprio as real-life con man Frank Abagnale Jr.?,Catch Me If You Can,General
"In Back to the Future, what type of car is converted into a time machine?",A DeLorean,General
The 2009 film Avatar primarily takes place on which fictional moon?,Pandora,General
Which actress portrayed Katniss Everdeen in The Hunger Games series?,Jennifer Lawrence,General
Which British band was originally known as The Quarrymen?,The Beatles,General
"Who sang 'I Will Always Love You,' featured in The Bodyguard soundtrack?",Whitney Houston,General
Which iconic artist was nicknamed the 'King of Pop'?,Michael Jackson,General
Wonderwall' was a 1995 hit by which British rock band?,Oasis,General
Which pop star's real name is Stefani Joanne Angelina Germanotta?,Lady Gaga,General
Billy Joel is nicknamed the 'Piano Man' after his 1973 song. True or False?,TRUE,General
Which sport is famously referred to as 'the beautiful game'?,Soccer (association football),General
Which athlete is the only person to play in both a Super Bowl and a World Series?,Deion Sanders,General
"In tennis, what term is used to describe a score of zero?",Love,General
Who holds the record for the most NBA championship rings as a player?,Bill Russell (11 rings),General
"In golf, what do you call a score of two under par on a single hole?",An eagle,General
The Heisman Trophy is awarded annually in which sport?,College (American) football,General
The Hoover Dam spans the border of which two U.S. states?,Nevada and Arizona,General
Suriname is located on which continent?,South America,General
Which European capital city is bisected by the River Liffey?,Dublin (Ireland),General
What is the largest island in the Mediterranean Sea?,Sicily,General
Mount Everest sits on the border of Nepal and which other country?,China (Tibet region),General
"Which U.S. state is nicknamed the 'Land of 10,000 Lakes'?",Minnesota,General
Who was the first U.S. President to be impeached?,Andrew Johnson,General
The War of the Roses was fought between which two royal houses?,The House of Lancaster and the House of York,General
In what year did the Berlin Wall fall?,1989,General
Who was the longest-reigning monarch in British history?,Queen Elizabeth II,General
The Magna Carta was signed under which English king?,King John (in 1215),General
Who led the Haitian Revolution and is considered a founding father of Haiti?,Toussaint Louverture,General
Which nut is used as the base for marzipan?,Almonds,General
From which country does the rice dish 'paella' originate?,Spain,General
"In Japanese cuisine, soba noodles are primarily made from what?",Buckwheat,General
Which spirit is the main alcoholic ingredient in a Bloody Mary?,Vodka,General
Which Mexican sauce famously combines chocolate and chili peppers?,Mole,General
Baklava is made with layers of which type of pastry?,Phyllo (filo) pastry,General
Which planet is often referred to as the 'Red Planet'?,Mars,General
What is the smallest unit of matter that retains an element's properties?,An atom,General
Which scale is used to measure the spiciness of peppers?,The Scoville scale,General
What is the largest bone in the human body?,The femur,General
"In physics, what does the formula E = mc² describe?",Einstein’s mass–energy equivalence,General
Which gas do plants primarily absorb during photosynthesis?,Carbon dioxide,General
Pride and Prejudice was written by which English novelist?,Jane Austen,General
Who wrote the novel Slaughterhouse-Five?,Kurt Vonnegut,General
Which dystopian novel features Big Brother and the Thought Police?,1984 by George Orwell,General
The phrase 'tilting at windmills' comes from which Spanish novel?,Don Quixote by Miguel de Cervantes,General
Which American author wrote The Adventures of Tom Sawyer?,Mark Twain,General
The Chronicles of Narnia series was written by whom?,C. S. Lewis,General
Arachnophobia is the fear of what?,Spiders,General
Ophidiophobia is the fear of which creatures?,Snakes,General
Aerophobia is the fear of what activity?,Flying,General
Coulrophobia is the fear of which costumed performers?,Clowns,General
Trypophobia is an aversion to clusters of what?,Small holes,General
Acrophobia is the fear of what?,Heights,General
"Which board game uses money denominations like $500, $100, $50, $20, $10, $5, and $1?",Monopoly,General
"In the game Clue, what is the name of the mansion where the murder occurs?",Tudor Mansion,General
Which puzzle game was originally a Facebook hit matching colorful sweets?,Candy Crush Saga,General
How many tiles are in a standard double-six domino set?,28,General
"In chess, which piece can only move diagonally?",The bishop,General
"In many classic Tetris color sets, the Z tetromino is what color?",Red,General
Which company produced the groundbreaking Altair 8800 personal computer?,MITS (Micro Instrumentation and Telemetry Systems),General
What does HTTP stand for in website addresses?,HyperText Transfer Protocol,General
"In computing, 'AI' stands for what term?",Artificial Intelligence,General
Who co-founded Apple Computer alongside Steve Jobs and Ronald Wayne?,Steve Wozniak,General
"What was Apple’s first highly successful portable music player, introduced in 2001?",The iPod,General
The term 'USB' stands for what?,Universal Serial Bus,General
Which car manufacturer produces the iconic Mustang?,Ford,General
The 'Beetle' is an iconic model by which automaker?,Volkswagen,General
Hyundai is an automaker headquartered in which country?,South Korea,General
Which luxury car brand's logo is a three-pointed star?,Mercedes-Benz,General
"Fiat, the car manufacturer, is based in which European country?",Italy,General
Which U.S. automaker is known simply as GM?,General Motors,General
The Four Noble Truths are central to which major world religion?,Buddhism,General
"In Plato's Republic, which group did he envision ruling his ideal city-state?",Philosopher-kings,General
Which Greek philosopher was the tutor of Alexander the Great?,Aristotle,General
The Bhagavad Gita is part of which larger Indian epic?,The Mahabharata,General
"In Christianity, which event is celebrated on Easter Sunday?",The resurrection of Jesus Christ,General
Which ancient philosopher wrote The Republic?,Plato,General
Master Chief is the main protagonist of which video game franchise?,Halo,General
Which company created the Super Mario series?,Nintendo,General
Creepers and Endermen are mobs in which sandbox game?,Minecraft,General
The phrase 'Finish Him!' is famously associated with which fighting game series?,Mortal Kombat,General
Geralt of Rivia is the main character in which fantasy RPG series?,The Witcher,General
Which classic arcade game involves shooting descending alien formations?,Space Invaders,General
Which candy bar uses the slogan 'You're not you when you're hungry'?,Snickers,General
The brand 'Hershey's' was founded in which country?,The United States,General
Tic Tac' mints are produced by which confectionery company?,Ferrero,General
Which candy was originally called 'Opal Fruits' in the UK?,Starburst,General
"In the U.S., which company manufactures the KitKat bar?",The Hershey Company,General
The gummy bear candy by Haribo was first produced in which country?,Germany,General
A group of lions is known by what collective noun?,A pride,General
"Who was the Greek goddess of wisdom and war, often symbolized by the owl?",Athena,General
Which woman sparked the Montgomery Bus Boycott in 1955 by refusing to give up her seat?,Rosa Parks,General
Which Italian fashion designer was murdered in Miami in 1997?,Gianni Versace,General
"In 1784, Franklin expresses his dislike for the Eagle being the symbol of America, advocating instead for what bird?",Turkey,General
"In 1837, what Great Lake State becomes the 26th to join the union?",Michigan,General
"In 1905, a 1.33lb object christened “Cullinan” was discovered in South Africa, what is Cullinan?",Diamond,General
"In 1924, the Russian city of Saint Petersburg changed its name to what?",Leningrad,General
"In 1962, a Catholic Bishop in Buffalo banned what dance, made popular by Chubby Checker, from all Catholic schools?",The Twist,General
"In 1973, what television show featuring Georgia cousins Bo, Luke, and Daisy, premieres on CBS?",Duke's of Hazzard,General
"In 1980, Israel establishes diplomatic relations with what neighboring country for the first time?",Egypt,General
"1934 What legendary music venue in New York City, previously known as a burlesque theater, changed to a music club, had its first show which featured mostly black artists?",The Apollo Theater,General
"1955 which legendary guitarist, credited with being the first to pioneer the finger tapping technique, was born in the Netherlands?",Eddie Van Halen,General
"What legendary rockabilly pioneer recorded what would become his first single, and later included on his second, and final album he recorded, That'll Be The Day?",Buddy Holly,General
1968 What band played their first show without founding member Syd Barrett?,Pink Floyd,General
"1970 What artist, as an inmate in San Quentin, was inspired to become a musician, after watching Johnny Cash perform at the prison, released his single the Fighting Side of Me?",Merle Haggard,General
"2022 what artist was removed from spotify's platform, at their own request, in protest over spotify's contract with Joe Rogan?",Neil Young,General
"2020 along with four other Awards, who won album of the Year, becoming the youngest artist to do so?",Billie Eilish,General
"1970 what single, and album of the same name, were both released by a legendary folk Duo?",Bridge Over Troubled Waters by Simon and Garfunkel,General
"In 2022, the Canadian government invoked the Emergencies Act for the first time since its creation, in response to which protest movement?",The “Freedom Convoy” protests,General
"Which politician, known for his “common-sense populism,” became leader of the Conservative Party of Canada in 2022?",Pierre Poilievre,General
The Emergencies Act replaced which earlier law that had only been invoked once (during the 1970 FLQ Crisis)?,The War Measures Act,General
The new trade agreement that replaced NAFTA is called USMCA in the U.S. What is it officially named in Canada?,CUSMA (Canada–United States–Mexico Agreement),General
"In 2021, the Supreme Court of Canada ruled the federal carbon pricing scheme constitutional after legal challenges by which two provinces?",Ontario and Saskatchewan,General
"Justin Trudeau, the 23rd Prime Minister of Canada, is the leader of which federal political party?",The Liberal Party of Canada,General
"Under Canada’s fixed-date election law, if not triggered earlier, the next federal election must occur by which year?",2025,General
Which government-owned pipeline expansion project has faced cost overruns and environmental controversies?,The Trans Mountain Pipeline expansion,General
"The 44th Canadian Parliament, elected in 2021, resulted in which party forming a minority government?",The Liberal Party,General
Which part of Canada’s Constitution guarantees official bilingualism and minority language educational rights?,The Canadian Charter of Rights and Freedoms,General
"After Queen Elizabeth II’s death, who is recognized as Canada’s monarch and head of state?",King Charles III,General
The acronym PIPEDA stands for what key Canadian legislation protecting personal information in the private sector?,Personal Information Protection and Electronic Documents Act,General
Bill C-11 (the Online Streaming Act) places platforms like Netflix under the oversight of which Canadian regulator?,The Canadian Radio-television and Telecommunications Commission (CRTC),General
"In 2022, Canada introduced new gun control measures banning the import and sale of which category of firearm?",Handguns,General
"Mary Simon, appointed in 2021, made history as Canada’s first Indigenous person to hold which position?",Governor General,General
The final report of the National Inquiry into Missing and Murdered Indigenous Women and Girls was released in which year?,2019,General
Which federal political party in Canada is devoted to Quebec sovereignty and holds seats only from that province?,The Bloc Québécois,General
"Canada’s no-fly list, known as the Passenger Protect Program, was originally introduced under which Prime Minister?",Paul Martin (in 2005),General
Who was re-elected as Speaker of the House of Commons in 2021 and must remain impartial despite being an MP?,Anthony Rota,General
"Section 33 of the Canadian Charter of Rights and Freedoms, often called the “notwithstanding clause,” allows legislatures to override certain Charter provisions for how many years at a time?",Five years (renewable),General
"Which collective of Indigenous peoples in the Atlantic region includes the Mi’kmaq, Maliseet, and Passamaquoddy?",The Wabanaki Confederacy,General
The 1759 Battle of the Plains of Abraham led to the British capture of which key Canadian city?,Quebec City,General
"In 1864, the Charlottetown Conference helped pave the way for Confederation. In which province did it take place?",Prince Edward Island,General
"Issued in 1763, which Royal Proclamation recognized Indigenous rights and laid foundations for future treaty-making?",The Royal Proclamation of 1763,General
"The Quiet Revolution, a period of rapid social and political change in the 1960s, took place in which province?",Quebec,General
"Which iconic Canadian rock band, fronted by Gord Downie, is often referred to as “Canada’s band”?",The Tragically Hip,General
The 1929 “Persons Case” determined that women were eligible to sit in the Senate. Which five Alberta women led that legal challenge?,The Famous Five (or the Valiant Five),General
Which Prime Minister patriated the Constitution and introduced the Charter of Rights and Freedoms in 1982?,Pierre Elliott Trudeau,General
The Oka Crisis in 1990 revolved around a land dispute involving which First Nations community?,The Mohawk community at Kanesatake,General
Which Canadian author wrote The Handmaid’s Tale?,Margaret Atwood,General
"The Frank Slide (1903), one of Canada’s deadliest landslides, occurred on Turtle Mountain in which province?",Alberta,General
"In the mid-1960s, Canada replaced the Red Ensign with the current Maple Leaf flag after which debate?",The Great Flag Debate,General
"Signed in 1876, which numbered treaty covers a large portion of southern Alberta (and parts of Saskatchewan)?",Treaty 7,General
One of Canada’s significant WWI victories in April 1917 occurred at which strategic ridge in France?,Vimy Ridge,General
Which legendary Canadian jazz pianist is known for albums like Night Train and has won multiple Grammys?,Oscar Peterson,General
The most recent Canadian team to win the Stanley Cup did so in 1993. Which NHL team was it?,The Montreal Canadiens,General
“Farewell to Nova Scotia” is an unofficial anthem from which Canadian province?,Nova Scotia,General
"The largest Pow Wow in Eastern Canada is the “Grand River Champion of Champions Pow Wow,” hosted by which First Nation?",Six Nations of the Grand River,General
Which Canadian comedic actor co-created the “Bob and Doug McKenzie” characters on SCTV alongside Rick Moranis?,Dave Thomas,General
"Canada’s official motto, “A Mari usque ad Mare,” was inspired by a line from which biblical psalm?",Psalm 72:8,General
The Paris Agreement is an international treaty under the UNFCCC aimed at combating which global crisis?,Climate change,General
Angela Merkel served as Chancellor of which country from 2005 to 2021?,Germany,General
"In 2016, the United Kingdom voted in a referendum to leave the European Union, a process famously called what?",Brexit,General
The International Criminal Court (ICC) is headquartered in which European city?,The Hague (Netherlands),General
"Which French satirical magazine was attacked in 2015, spurring global debates on free speech and security?",Charlie Hebdo,General
The Tigray conflict that began in 2020 occurs in which East African country?,Ethiopia,General
The CPTPP (Comprehensive and Progressive Agreement for Trans-Pacific Partnership) includes Canada and how many other countries?,10 (11 total members),General
Rodrigo Duterte’s controversial “War on Drugs” took place in which Southeast Asian nation?,The Philippines,General
China’s Belt and Road Initiative is a massive global infrastructure project led by which country?,China,General
"In 2008, Nepal abolished its centuries-old monarchy, removing which ruling dynasty?",The Shah dynasty,General
"Hong Kong’s “One Country, Two Systems” framework was originally negotiated between China and which European power?",The United Kingdom,General
The UN Security Council is primarily responsible for maintaining what?,International peace and security,General
Who became the first female President of the European Commission in 2019?,Ursula von der Leyen,General
Boko Haram operates primarily in the northeastern region of which African nation?,Nigeria,General
Which modern East African nation was formed in 1964 by uniting Tanganyika and Zanzibar?,Tanzania,General
The Abraham Accords (2020) normalized relations between Israel and which two Arab nations first?,The United Arab Emirates and Bahrain,General
"The Nord Stream pipelines supply natural gas from Russia to which region, primarily via Germany?",Europe,General
"Which Middle Eastern nation’s civil war began in 2011, leading to a significant refugee crisis?",Syria,General
"In 2020, which government introduced a controversial National Security Law in Hong Kong?",The People’s Republic of China,General
COP27 (the 27th UN Climate Change Conference) took place in 2022 in which Egyptian city?,Sharm El Sheikh,General
"In July 2022, President Gotabaya Rajapaksa fled which country after mass protests over economic mismanagement?",Sri Lanka,General
The WHO declared COVID-19 a pandemic on which date?,"March 11, 2020",General
The Russo-Ukrainian War escalated in 2022 with a full-scale invasion threatening which Eastern European capital?,Kyiv,General
Jacinda Ardern announced her resignation as Prime Minister of which country in early 2023?,New Zealand,General
"Which city hosted the 2022 Winter Olympics, becoming the first to host both Summer and Winter Games?",Beijing,General
A 2023 wildfire crisis in the Northwest Territories led to the evacuation of which major Canadian city?,Yellowknife,General
The 2021 G20 Summit was held in which European capital city?,"Rome, Italy",General
Prince Harry and Meghan’s 2021 interview with Oprah Winfrey caused global headlines about which country’s royal family?,The United Kingdom,General
"In August 2021, the Taliban regained control of Afghanistan after the withdrawal of troops from which alliance?",NATO,General
"In 2022, NASA’s DART mission successfully collided with which asteroid moonlet to test planetary defense?",Dimorphos,General
The FIFA World Cup 2022 was controversially held in November–December in which country?,Qatar,General
The UK lifted most COVID-19 restrictions on “Freedom Day” in which year?,2021,General
Elon Musk completed his purchase of which major social media platform in 2022?,Twitter (later rebranded X),General
"AUKUS is a security pact among Australia, the UK, and which other country?",The United States,General
King Charles III’s coronation took place at Westminster Abbey in which month and year?,May 2023,General
Protests in Iran in 2022 were sparked by the death of which young woman in custody of the morality police?,Mahsa Amini,General
"The 2023 UN Water Conference was held in which city, the first such event in nearly 50 years?",New York City,General
"The Pandora Papers, revealing offshore financial dealings, were released in 2021 by which investigative organization?",The International Consortium of Investigative Journalists (ICIJ),General
"In 2023, the Spanish women’s soccer team demanded resignations at the federation, focusing on president Luis Rubiales, after what scandalous act?",He forcibly kissed a player during the World Cup celebration,General
"In late 2022, major protests in China targeted the strict anti-COVID rules collectively referred to as what?",The “Zero-COVID” policy,General
"Quarks come in six “flavors”: up, down, charm, strange, top, and what else?",Bottom,General
"Launched in December 2021, the James Webb Space Telescope orbits near which Earth–Sun Lagrange point?",L2,General
CRISPR-Cas9 gene editing was pioneered by which two scientists awarded the 2020 Nobel Prize in Chemistry?,Jennifer Doudna and Emmanuelle Charpentier,General
"The 2020 Nobel Prize in Physics honored Roger Penrose, Reinhard Genzel, and which female astronomer for black hole research?",Andrea Ghez,General
"In computer science, which data structure follows Last In, First Out (LIFO)?",A stack,General
The pH scale measures the acidity or basicity of a solution. A pH below 7 indicates what?,An acidic solution,General
"According to Einstein’s Special Relativity, what is the term for the phenomenon where a moving clock appears to run slower?",Time dilation,General
The Human Genome Project was largely declared complete in which year?,2003,General
"In December 2022, the National Ignition Facility achieved a breakthrough in which type of reaction, generating net energy gain?",Nuclear fusion,General
Marie Curie named the element Polonium after her homeland. Which country was that?,Poland,General
Shuji Nakamura shared the 2014 Nobel Prize in Physics for his contributions to which energy-efficient lighting technology?,The blue LED,General
"In mathematics, the Riemann Hypothesis concerns the nontrivial zeros of which function?",The Riemann zeta function,General
GPT-4 is an advanced large language model created by which AI research organization?,OpenAI,General
Which principle states that no two electrons in an atom can have the same set of quantum numbers?,The Pauli Exclusion Principle,General
"In 2019, the Event Horizon Telescope collaboration released the first-ever image of a black hole, found in which galaxy?",M87 (Messier 87),General
"Which metallic element, atomic number 4, is the lightest alkaline earth metal?",Beryllium,General
"Merge Sort and Quick Sort both have O(n log n) average time complexities, but which is often faster on average?",Quick Sort,General
"“Pando” in Utah, considered one of the largest living organisms, is a giant colony of which tree species?",Quaking aspen,General
"Among long-lived greenhouse gases, which one is most abundant in Earth’s atmosphere?",Carbon dioxide (CO₂),General
Moore’s Law states that the number of transistors on a microchip roughly doubles every how many years?,About two years,General
"The Booker Prize is awarded for the best original novel in English, published in which region(s)?",The UK and Ireland,General
One Hundred Years of Solitude was written by which Colombian author?,Gabriel García Márquez,General
"Which Canadian writer penned Fifth Business, part of the Deptford Trilogy?",Robertson Davies,General
Pablo Picasso’s painting Guernica depicts the bombing of a town in which war?,The Spanish Civil War,General
"Easter, 1916 and The Second Coming were written by which Irish poet?",W.B. Yeats,General
The medieval epic poem Beowulf was composed in which language?,Old English,General
“The Love Song of J. Alfred Prufrock” is a famous poem by which modernist author?,T.S. Eliot,General
Claude Monet was a founding figure of which late 19th-century French art movement?,Impressionism,General
Toni Morrison’s novel Beloved earned her the Pulitzer Prize in which year?,1988,General
Death of a Salesman was written by which American playwright?,Arthur Miller,General
"In 2022, the Nobel Prize in Literature went to Annie Ernaux. Which memoir about an illegal abortion did she write?",Happening (L’Événement),General
“Magic Realism” is a literary style particularly associated with which region’s authors?,Latin America,General
La Chanson de Roland is an Old French epic poem set during the reign of which Frankish king?,Charlemagne,General
Philip K. Dick’s Do Androids Dream of Electric Sheep? inspired which 1982 Ridley Scott film?,Blade Runner,General
Sir Thomas Malory’s Le Morte d’Arthur (1485) retells the legend of which British king?,King Arthur,General
Franz Kafka’s The Metamorphosis features a protagonist who transforms into what?,A giant insect,General
Les Rougon-Macquart is a 20-volume series penned by which 19th-century French author?,Émile Zola,General
The Persistence of Memory (with melting clocks) was painted by which Spanish Surrealist?,Salvador Dalí,General
"Canadian novelist Margaret Laurence is best known for the Manawaka series, which includes which famous novel?",The Stone Angel,General
"The Satanic Verses, a controversial novel, was written by which British-Indian author?",Salman Rushdie,General
"Nicknamed “The Big Fundamental,” which NBA legend won five championships with the San Antonio Spurs?",Tim Duncan,General
Lionel Messi transferred to Paris Saint-Germain in 2021 from which longtime club?,FC Barcelona,General
The “Miracle on Ice” occurred at the 1980 Winter Olympics when the U.S. men’s hockey team upset which powerhouse nation?,The Soviet Union,General
Which Canadian tennis player reached the 2021 U.S. Open women’s final at age 19?,Leylah Annie Fernandez,General
The rivalry between Rangers and Celtic in Glasgow is famously known by what name?,The Old Firm,General
"Known as the fastest man in history, which Jamaican sprinter holds multiple world records in the 100 m and 200 m?",Usain Bolt,General
"In Major League Baseball, which team holds the record for the most World Series victories?",The New York Yankees,General
The Canadian women’s soccer team won the gold medal at the 2020 Tokyo Olympics (held in 2021) by beating which nation in the final?,Sweden,General
Which Indian cricket legend is nicknamed the “Little Master” and holds numerous batting records?,Sachin Tendulkar,General
"The Chicago Bulls dynasty of the 1990s was led by Michael Jordan, Scottie Pippen, and which head coach?",Phil Jackson,General
Canadian basketball star Steve Nash earned how many NBA MVP awards in his career?,Two (2005 and 2006),General
"The four tennis Grand Slam events are the Australian Open, French Open, Wimbledon, and which tournament in New York?",The U.S. Open,General
"In NHL hockey, which trophy is awarded to the league’s regular-season MVP?",The Hart Memorial Trophy,General
The “All Blacks” is the national rugby union team of which country?,New Zealand,General
The first modern Olympic Games were held in 1896 in which city?,"Athens, Greece",General
The famous rivalry in MLB between the Boston Red Sox and the New York Yankees is often referred to by what moniker?,Simply “The Rivalry”,General
Canadian sprinter Donovan Bailey set a then–world record of 9.84 s in the 100 m at which Olympics?,The 1996 Atlanta Olympics,General
Michael Schumacher and Lewis Hamilton share the F1 record for the most World Drivers’ Championship titles. How many have each won?,Seven,General
"In 1956, which New York Yankees pitcher threw the only perfect game in World Series history?",Don Larsen,General
"In a 1988 blockbuster NHL trade, Wayne Gretzky left the Edmonton Oilers for which team?",The Los Angeles Kings,General
The Treaty of Westphalia in 1648 ended which major European religious conflict?,The Thirty Years’ War,General
"Mansa Musa, famous for his immense wealth in the 14th century, ruled which West African empire?",The Mali Empire,General
The “Defenestration of Prague” in 1618 helped ignite which prolonged conflict?,The Thirty Years’ War,General
The Balfour Declaration of 1917 expressed British support for a Jewish homeland in which region?,Palestine,General
The 1954 Geneva Accords divided which Southeast Asian nation at the 17th parallel?,Vietnam,General
The Opium Wars (19th century) were primarily fought between China and which European power?,Britain,General
Tenochtitlan was the capital city of which Mesoamerican empire?,The Aztec Empire,General
The failed Gunpowder Plot of 1605 in England was led by which infamous figure?,Guy Fawkes,General
“The Great Dying” refers to the massive decline of which population following 15th–16th-century European contact?,Indigenous peoples of the Americas,General
The Council of Trent (1545–63) was a central component of which broader movement?,The Counter-Reformation (Catholic Reformation),General
Which final Russian tsar was executed in 1918 alongside his family?,Nicholas II,General
The vast road network called Qhapaq Ñan was constructed by which Andean empire?,The Inca Empire,General
Which ancient Greek historian is commonly called the “Father of History”?,Herodotus,General
The Haitian Revolution (1791–1804) was led by which former enslaved man?,Toussaint Louverture,General
The Meiji Restoration of 1868 restored imperial rule to which East Asian country?,Japan,General
Uruk is often considered among the world’s first true cities. It belonged to which ancient Mesopotamian civilization?,Sumer (the Sumerians),General
The Magna Carta was sealed by King John of England in which year?,1215,General
Pol Pot led the Khmer Rouge regime from 1975–79 in which Southeast Asian country?,Cambodia,General
"Which Moroccan explorer traveled extensively across Africa and Asia in the 14th century, recording his observations?",Ibn Battuta,General
The Peloponnesian War (431–404 BC) was fought mainly between Athens and which rival city-state?,Sparta,General
The Dardanelles and Bosporus straits separate which two continents?,Europe and Asia,General
The Great Barrier Reef lies off the coast of which Australian state?,Queensland,General
Which U.S. state has the longest coastline?,Alaska,General
"Mount Aconcagua, the highest peak in the Americas, is found in which South American country?",Argentina,General
What is the largest lake in Africa by surface area?,Lake Victoria,General
"Petra, an ancient city carved into rock, is located in which Middle Eastern country?",Jordan,General
The Sahara covers a large swath of which continent?,Africa,General
"The Three Gorges Dam, the world’s largest power station, spans which Chinese river?",The Yangtze River,General
"Lake Baikal, the deepest freshwater lake on Earth, is located in which country?",Russia,General
"The island of Borneo is shared by Malaysia, Indonesia, and which small nation?",Brunei,General
"The Iberian Peninsula consists mainly of Spain and Portugal, plus a small portion of which microstate?",Andorra,General
Which European country contains the region of Transylvania?,Romania,General
The world’s southernmost capital of a sovereign nation is which city?,"Wellington, New Zealand",General
The Po River is the longest river in which European country?,Italy,General
The Khyber Pass historically connects Pakistan with which neighboring country?,Afghanistan,General
"In 2017, Catalonia held a controversial independence referendum not recognized by the central government of which country?",Spain,General
Victoria Falls on the Zambezi River lies on the border between Zambia and which other nation?,Zimbabwe,General
The Great Rift Valley stretches thousands of kilometers primarily in which continent?,Africa,General
"Formerly called Calcutta, which city is the capital of India’s West Bengal state?",Kolkata,General
"The Rub’ al Khali, also called the “Empty Quarter,” is a vast desert in which peninsula?",The Arabian Peninsula,General
The phobia of long words is ironically known by which lengthy term?,Hippopotomonstrosesquipedaliophobia,General
Which continent is sometimes said to be the only one without a major desert?,Europe,General
"In web terminology, what does “URL” stand for?",Uniform Resource Locator,General
Public-key cryptography relies on asymmetric encryption using a pair of keys. One is private; what is the other called?,A public key,General
The Pascal (Pa) is the SI unit for measuring which physical quantity?,Pressure,General
